name,qty
Harbinger of The Tides,4
Merrow Reejery,4
Lord of Atlantis,5
Goblin Guide,4
Light Up the Stage,4
Skewer the Critics,4
Rift Bolt,4
Smash to Smithereens,4
Lightning Bolt,8
Monastery Swiftspear,4
Blood Moon,4
Shard Volley,1
Deflecting Palm,1
Windswept Heath,3
Bloodstained Mire,7
Arid Mesa,2
Flooded Strand,4
Scalding Tarn,2
Misty Rainforest,2
Marsh Flats,1
Inspiring Vantage,4
Wooded Foothills,3
Stomping Ground,2
Blood Crypt,1
Gemstone Mine,1
Copperline Gorge,1
City of Brass,1
Leyline of the Void,4
Blast Zone,1
Plains,99
Island,99
Swamp,99
Mountain,99
Forest,99
Aether Vial,4
Thoughtseize,4
Ephemerate,8
