Place,Deck,Pilot,deck_id,PC1,PC2
1st,Grixis Death's Shadow,SoulStrong,4525090,0.314230959200287,-5.45644889516493
2nd,4c Living End,charlieqds,4525091,1.65105740301735,3.6790602980297
3rd,Grinding Station,Jiggywiggy,4525092,0.765859879576379,-2.96211321411657
4th,Thopter Combo,Arrias,4525093,3.40260999241455,-0.281388766266496
5th,Belcher,crackerpack,4525094,-3.06574969949696,3.21766901169266
6th,4c Blink,manoah,4525095,5.43481854410753,5.31584890280436
7th,Grixis Death's Shadow,WhiteSide24,4525096,0.348882460813237,-5.20766995955185
8th,4c Omnath,moksha,4525097,6.17098046387067,5.45587526908556
1st,Grixis Death's Shadow,sokos13,4524396,0.401743201116855,-5.43802965146678
2nd,Azorius Mill,Wisnia,4524397,1.70259829867697,-3.33496707595838
3rd,5c Omnath,FreakNightmare,4524398,2.36318435164638,5.34205323326764
4th,Hammer Time,Xwhale,4524399,-2.96442400050322,-7.37457716967591
5th,Hammer Time,YoungToast,4524400,-2.77575872709808,-7.06997542406855
6th,Hammer Time,WrzoBuSeks,4524401,-3.05419277032131,-5.2035319644354
7th,Grixis Death's Shadow,SoulStrong,4524402,0.421243800584884,-5.33316518855114
8th,Azorius Control,TheTunnelingCat,4524403,6.32559031361406,4.56550705167849
1st,Grixis Death's Shadow,FerMTG,4513547,0.531798353966,-5.40517970770435
2nd,Amulet Titan,musasabi,4513548,-11.02424197638,6.58646452209856
3rd,Burn,k00pa_king,4513549,0.569013736945342,-3.40587142301319
4th,Grixis Death's Shadow,Fnoop,4513550,0.500254719487995,-4.92227308710332
5th,4c Blink,MaxMagicer,4513551,4.65607355984954,6.3399976755392
6th,4c Death's Shadow,Magic_Dan,4513552,0.561324301791172,-5.10244192301725
7th,Azorius Mill,Wisnia,4513553,1.87845859339335,-3.37531830750929
8th,Rakdos Midrange,Jeppebc,4513555,-1.28109106524289,-5.8373114727681
1st,Hammer Time,mariogomes097,4512545,-2.03774268827594,-5.84128473468401
2nd,Prowess,frakom,4512546,1.05458797550795,-2.73817321708044
3rd,Gruul Midrange,GARRUK_911,4512547,-1.28048029936489,2.63141574766226
4th,Grixis Death's Shadow,martyr1207,4512548,0.230703939117064,-5.41033591162714
5th,Azorius Control,rn17,4512549,6.52080949000911,4.79029332099813
6th,Belcher,ziyanghuakai,4512550,-3.60265933574791,3.04199692252046
7th,WUBRG,Fluorspar,4512551,-2.97964628753285,-2.45466554442198
8th,Grixis Death's Shadow,NooxTom,4512552,0.36386458370586,-5.19211589904886
1st,Hammer Time,Laplasjan,4502610,-2.85388904354822,-6.94758091564134
2nd,Hammer Time,UnsungZero,4502611,-3.18287703818473,-7.26442753731434
